"報告年度:2021","議題:水資源管理"
"公司代號","公司名稱","用水量(公噸)-用水量(公噸)","資料範圍-資料範圍","用水密集度-密集度(公噸/單位)","用水密集度-單位","取得驗證-取得驗證"
"=""8438""","昶昕","22123.0000","大園廠、大園一廠、海湖廠、含銅廢液處理廠、蘆竹廠","無，無統計相關數據","",""
"=""8442""","威宏-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""8443""","阿瘦","16861.0000","僅母公司","無，不適用","",""
"=""8454""","富邦媒","48810.0000","2021年揭露範圍：總部大樓、北區物流中心、4個主倉(蘆竹、林口、蘆四、南工)","17.6200","員工用水密集度：當年度用水量(度) / 當年度年底總部總雇用人數、北區物流中心、4個主倉(蘆竹、林口、蘆四、南工)實際常駐人數(含派遣公司進駐人員)",""
"=""8462""","柏文","467637.0000","包含合併財務報表之母子公司","179.4463","百萬營業額",""
"=""8463""","潤泰材","581735.0000","宜蘭冬山廠冷卻用水","無，無統計相關數據","",""
"=""8464""","億豐","無，待2021年ESG資料盤整完畢","","無，待2021年ESG資料盤整完畢","",""
"=""8466""","美吉吉-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""8467""","波力-KY","186598.0000","2021年","無，無統計相關數據","",""
"=""8473""","山林水","無，無統計相關數據","","無，無統計相關數據","",""
"=""8476""","台境*","無，無統計相關數據","","無，無統計相關數據","",""
"=""8478""","東哥遊艇","7434.0000","僅母公司","354.0000","總用水量( 公噸) / 營收( 億元)",""
"=""8481""","政伸","15329.0000","僅母公司","16.4474","百萬營業額",""
"=""8482""","商億-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""8488""","吉源-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""8499""","鼎炫-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""8926""","台汽電","960000.0000","台灣汽電共生股份有限公司 官田汽電共生廠","無，尚未進行估算","",""
"=""8940""","新天地","無，無統計相關數據","","無，無統計相關數據","",""
"=""8996""","高力","8229.0000","母公司","3.6900","百萬營業額",""
"=""9103""","美德醫療-DR","","","","",""
"=""910322""","康師傅-DR","","","","",""
"=""9105""","泰金寶-DR","","","","",""
"=""910861""","神州-DR","","","","",""
"=""9110""","越南控-DR","","","","",""
"=""911608""","明輝-DR","","","","",""
"=""911622""","泰聚亨-DR","","","","",""
"=""911868""","同方友友-DR","","","","",""
"=""912000""","晨訊科-DR","","","","",""
"=""9136""","巨騰-DR","","","","",""
"=""9802""","鈺齊-KY","618365.0000","合併財務報表之母子公司","無，無統計相關數據","",""
"=""9902""","台火","無，無統計相關數據","","無，無統計相關數據","",""
"=""9904""","寶成","14216800.0000","本公司製鞋廠區","無，無統計相關數據","",""
"=""9905""","大華","100007.0000","母公司","37.0262","百萬營業額",""
"=""9906""","欣巴巴","無，無統計相關數據","","無，無統計相關數據","",""
"=""9907""","統一實","1243739.0000","用水量為台灣總公司之總取水量","1.2900","產品",""
"=""9908""","大台北","15726.0000","母公司自有大樓及辦公場所","0.5072","營業額每10萬元",""
"=""9910""","豐泰","1657513.0000","包含合併財務報表之母子公司","0.0133","每雙鞋",""
"=""9911""","櫻花","12.0000","僅母公司","無，無統計相關數據","",""
"=""9912""","偉聯","無，無統計相關數據","","無，無統計相關數據","",""
"=""9914""","美利達","118641.0000","僅母公司","5.0626","營業額單位為佰萬元",""
"=""9917""","中保科","52006.0000","母公司","7.2431","計算標準:排放量/每百萬元營收",""
"=""9918""","欣天然","1840.0000","欣欣大樓","1840.0000","營業額",""
"=""9919""","康那香","226983.0000","僅個體公司所有製造廠區(不含分公司)","19.2200","產量(噸)",""
"=""9921""","巨大","211100.0000","僅母公司日南廠","0.0184","單台",""
"=""9924""","福興","50923.0000","僅母公司","10.1846","百萬營業額",""
"=""9925""","新保","5807.0000","母公司","無，無統計相關數據","",""
"=""9926""","新海","7411.0000","僅本公司","無，無統計相關數據","",""
"=""9927""","泰銘","29629.0000","全廠","0.9848","產品",""
"=""9928""","中視","無，無統計相關數據","","無，無統計相關數據","",""
"=""9929""","秋雨","9600.0000","僅母公司","無，無統計相關數據","",""
"=""9930""","中聯資源","220000.0000","僅母公司","22.2525","公噸/百萬營業額",""
"=""9931""","欣高","無，無統計相關數據","","無，無統計相關數據","",""
"=""9933""","中鼎","192542.0000","中鼎總部大樓加上全球工地用水量","8346.2437","百萬工時",""
"=""9934""","成霖","3963.0000","母公司","無，無統計相關數據","",""
"=""9935""","慶豐富","21012.0000","僅母公司","0.0044","營業額",""
"=""9937""","全國","394051.0000","涵蓋本公司所有營運據點及同為經營加油站之子公司埔祥開發(股)公司及上員(股)公司","0.1189","公噸/單位洗車用水量",""
"=""9938""","百和","30674.4127","台灣百和工業股份有限公司","3.8558","產品",""
"=""9939""","宏全","1580417.0000","僅母公司","無，因產業特性不同，分為包材及飲料品項: 1.包材技術群:51.6(噸/百萬營收) 2.飲料技術群:3.61(噸/成品(千公升))","",""
"=""9940""","信義","73026.0000","信義房屋股份有限公司","14.3400","員工人數","ISO 14001"
"=""9941""","裕融","7636.0000","母公司+子公司新鑫、裕富數位","6.1630","人",""
"=""9942""","茂順","無，無統計相關數據","","無，無統計相關數據","",""
"=""9943""","好樂迪","264264.0000","全省門市","157.1218","用水密集度(264264)/其他-營收百萬元(1682)",""
"=""9944""","新麗","9848.0000","新麗八德廠","10.7066","產品",""
"=""9945""","潤泰新","581735.0000","冬山廠(子公司)冷卻用水","無，無統計相關數據","",""
"=""9946""","三發地產","無，無統計相關數據","","無，無統計相關數據","",""
"=""9955""","佳龍","14216.0000","包含合併財務報表之母子公司","無，無統計相關數據","",""
"=""9958""","世紀鋼","14025.0000","桃園市觀音區中山路一段1119號","無，無統計相關數據","",""
